Sat.ElapsedSecs           Sat.Earth.SMA             Sat.Earth.ECC             
0                         7000                      9.99999999999811e-05      
Sat.ElapsedSecs           Sat.Earth.SMA             Sat.Earth.ECC             
0                         9500.319506002661         0.2632563572648711        
Sat.ElapsedSecs           Sat.Earth.SMA             Sat.Earth.ECC             
0                         9500.319506002661         0.2632563572648711        
59.99999988125637         9500.266804006103         0.2632502505843086        
149.6935717295855         9499.980837803529         0.2632178028408191        
243.8023485825397         9499.438824192359         0.2631568754911781        
339.1453730408102         9498.685139496611         0.2630730989056286        
435.7498383033089         9497.775810562724         0.2629734767249973        
533.9867960312404         9496.77274145366          0.2628655476885785        
634.2472550924867         9495.738539547327         0.2627566192589332        
736.9002796942368         9494.730939128522         0.2626530053364282        
842.2897826763801         9493.798008192387         0.2625594344650111        
950.7444351213053         9492.974893834979         0.2624787279489159        
1062.580799509306         9492.282626758539         0.2624117945465057        
1178.122230805457         9491.728738876696         0.2623578852851877        
1297.703563934192         9491.309472900177         0.2623150388589924        
1421.666550147347         9491.01279490249          0.2622805935290949        
1550.362368766218         9490.821509715046         0.2622516639972677        
1684.141910250764         9490.716083367164         0.2622255290651546        
1823.344445228577         9490.676863008592         0.2621998995738749        
1968.28522074502          9490.685632489396         0.2621730693240498        
2119.238560460508         9490.726554550325         0.2621439677100509        
2276.427369459998         9490.786611421257         0.2621121363608458        
2440.01094015548          9490.855672199834         0.262077655635357         
2610.063324146904         9490.926299293606         0.2620410444950289        
2786.570226098411         9490.993408830347         0.2620031453169706        
2969.421525090002         9491.053854084517         0.261965011398633         
3158.396123698913         9491.105989432304         0.2619278069090315        
3353.168246371206         9491.149264210468         0.2618927182636978        
3553.307325323112         9491.183858972314         0.2618608852285601        
3758.275508601218         9491.210379230031         0.2618333499147293        
3967.441714648157         9491.229611587332         0.2618110185853245        
4180.090126837604         9491.242333989105         0.2617946370801503        
4395.424241619185         9491.249175576902         0.2617847746753377        
4599.481244652998         9491.250591268346         0.2617817902861971        
